Access denied. You do not have access to Reporting Compliance.,بند واجهة
Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Action Plan,بند واجهة
Actions,إجراءات
Active,نشط
Administrator,المسؤول
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
App Scope (optional),بند واجهة
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachment,مرفق
Attachments,المرفقات
Audit,التدقيق
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Cancelled,ملغى
Car Rental,تأجير السيارات
Card Break,قسم
Chart,مخطط
Chart of Accounts,دليل الحسابات
Closed,مغلق
Closed On,مغلق On
Collected On,مجمّع في
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Completed,مكتمل
Completed On,مكتمل On
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Control,امتثال التحكم
Compliance Control Register,سجل امتثال التحكم
Compliance Control Test,بند واجهة
Compliance Control Test Register,سجل بند واجهة
Compliance Evidence,امتثال دليل
Compliance Evidence Register,سجل امتثال دليل
Compliance Exception,امتثال استثناء
Compliance Exception Register,سجل امتثال استثناء
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Remediation,امتثال معالجة
Compliance Remediation Register,سجل امتثال معالجة
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Control,التحكم
Control Owner,التحكم المالك
Control Test,بند واجهة
Control Title,التحكم العنوان
Controls,بند واجهة
Controls Coverage,بند واجهة
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
Critical,حرج
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Custom Documents,المستندات المخصصة
Customer,العميل
Dashboard,لوحة معلومات
